    PID TTY      STAT   TIME COMMAND
   1089 ?        Ss     0:00 /lib/systemd/systemd --user LANG=en_US.UTF-8 LC_ADDRESS=ru_RU.UTF-8 LC_IDENTIFICATION=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_MONETARY=ru_RU.UTF-8 LC_NAME=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/snap/bin NOTIFY_SOCKET=/run/systemd/notify HOME=/home/denis LOGNAME=denis USER=denis SHELL=/bin/bash INVOCATION_ID=1435f7fa666044fc8f406e61013ab43f JOURNAL_STREAM=8:27130 SYSTEMD_EXEC_PID=1089 XDG_RUNTIME_DIR=/run/user/1000
   1090 ?        S      0:00 (sd-pam)
   1096 ?        S<sl   0:00 /usr/bin/pipewire HOME=/home/denis LANG=en_US.UTF-8 LC_ADDRESS=ru_RU.UTF-8 LC_IDENTIFICATION=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_MONETARY=ru_RU.UTF-8 LC_NAME=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 LOGNAME=denis PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin SHELL=/bin/bash SYSTEMD_EXEC_PID=1096 USER=denis XDG_RUNTIME_DIR=/run/user/1000 QT_ACCESSIBILITY=1 XDG_DATA_DIRS=/usr/local/share/:/usr/share/:/var/lib/snapd/desktop DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus MANAGERPID=1089 LISTEN_PID=1096 LISTEN_FDS=1 LISTEN_FDNAMES=pipewire.socket INVOCATION_ID=49f593a9e0274c62a4818fcc596ea765 JOURNAL_STREAM=8:26245
   1097 ?        Ssl    0:00 /usr/bin/pipewire-media-session HOME=/home/denis LANG=en_US.UTF-8 LC_ADDRESS=ru_RU.UTF-8 LC_IDENTIFICATION=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_MONETARY=ru_RU.UTF-8 LC_NAME=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 LOGNAME=denis PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin SHELL=/bin/bash SYSTEMD_EXEC_PID=1097 USER=denis XDG_RUNTIME_DIR=/run/user/1000 QT_ACCESSIBILITY=1 XDG_DATA_DIRS=/usr/local/share/:/usr/share/:/var/lib/snapd/desktop DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus MANAGERPID=1089 INVOCATION_ID=ea46e879e0e84297855e6e3cec1f3634 JOURNAL_STREAM=8:27213
   1098 ?        S<sl   1:24 /usr/bin/pulseaudio --daemonize=no --log-target=journal HOME=/home/denis LANG=en_US.UTF-8 LC_ADDRESS=ru_RU.UTF-8 LC_IDENTIFICATION=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_MONETARY=ru_RU.UTF-8 LC_NAME=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 LOGNAME=denis PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin SHELL=/bin/bash SYSTEMD_EXEC_PID=1098 USER=denis XDG_RUNTIME_DIR=/run/user/1000 QT_ACCESSIBILITY=1 XDG_DATA_DIRS=/usr/local/share/:/usr/share/:/var/lib/snapd/desktop DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus NOTIFY_SOCKET=/run/user/1000/systemd/notify MANAGERPID=1089 LISTEN_PID=1098 LISTEN_FDS=1 LISTEN_FDNAMES=pulseaudio.socket INVOCATION_ID=94c45cc676b941c5baafad8c29fa7a69 JOURNAL_STREAM=8:27210 LD_BIND_NOW=1
   1100 ?        Ss     0:28 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only HOME=/home/denis LANG=en_US.UTF-8 LC_ADDRESS=ru_RU.UTF-8 LC_IDENTIFICATION=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_MONETARY=ru_RU.UTF-8 LC_NAME=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 LOGNAME=denis PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin SHELL=/bin/bash SYSTEMD_EXEC_PID=1100 USER=denis XDG_RUNTIME_DIR=/run/user/1000 QT_ACCESSIBILITY=1 XDG_DATA_DIRS=/usr/local/share/:/usr/share/:/var/lib/snapd/desktop DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus MANAGERPID=1089 LISTEN_PID=1100 LISTEN_FDS=1 LISTEN_FDNAMES=dbus.socket INVOCATION_ID=ddb9826b8c98420f95eedd6741aa6fc0 JOURNAL_STREAM=8:26299
   1103 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login PATH=/usr/local/bin:/usr/bin:/bin USER=denis LOGNAME=denis HOME=/home/denis SHELL=/bin/bash LC_PAPER=ru_RU.UTF-8 LC_NAME=ru_RU.UTF-8 LC_ADDRESS=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_IDENTIFICATION=ru_RU.UTF-8 LC_MONETARY=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 LANG=en_US.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 XDG_VTNR=7 DISPLAY=:0 XDG_SESSION_DESKTOP=xubuntu DESKTOP_SESSION=xubuntu GDMSESSION=xubuntu XDG_CURRENT_DESKTOP=XFCE LANGUAGE=en_US GDM_LANG=en_US XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis XDG_SESSION_ID=c2 XDG_RUNTIME_DIR=/run/user/1000 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus XDG_SESSION_CLASS=user
   1107 ?        Ssl    0:05 xfce4-session LANGUAGE=en_US USER=denis LC_TIME=ru_RU.UTF-8 XDG_SEAT=seat0 XDG_SESSION_TYPE=x11 SHLVL=0 HOME=/home/denis DESKTOP_SESSION=xubuntu XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 LC_MONETARY=ru_RU.UTF-8 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus QT_QPA_PLATFORMTHEME=gtk2 LOGNAME=denis XDG_SESSION_CLASS=user CLUTTER_BACKEND=x11 GTK_OVERLAY_SCROLLING=0 XDG_SESSION_ID=c2 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin GDM_LANG=en_US XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 LC_ADDRESS=ru_RU.UTF-8 XDG_RUNTIME_DIR=/run/user/1000 XDG_MENU_PREFIX=xfce- DISPLAY=:0 LANG=en_US.UTF-8 XDG_CURRENT_DESKTOP=XFCE LC_TELEPHONE=ru_RU.UTF-8 XDG_SESSION_DESKTOP=xubuntu XAUTHORITY=/home/denis/.Xauthority XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis SHELL=/bin/bash LC_NAME=ru_RU.UTF-8 QT_ACCESSIBILITY=1 GDMSESSION=xubuntu LC_MEASUREMENT=ru_RU.UTF-8 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 LC_IDENTIFICATION=ru_RU.UTF-8 XDG_VTNR=7 PWD=/home/denis XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg:/etc/xdg XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop:/usr/share LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8
   1185 ?        Ssl    0:00 /usr/libexec/at-spi-bus-launcher HOME=/home/denis LANG=en_US.UTF-8 LC_ADDRESS=ru_RU.UTF-8 LC_IDENTIFICATION=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_MONETARY=ru_RU.UTF-8 LC_NAME=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 LOGNAME=denis PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin SHELL=/bin/bash SYSTEMD_EXEC_PID=1185 USER=denis XDG_RUNTIME_DIR=/run/user/1000 QT_ACCESSIBILITY=1 XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop CLUTTER_BACKEND=x11 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus DESKTOP_SESSION=xubuntu DISPLAY=:0 GDMSESSION=xubuntu GDM_LANG=en_US GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 GTK_OVERLAY_SCROLLING=0 LANGUAGE=en_US PWD=/home/denis QT_QPA_PLATFORMTHEME=gtk2 SHLVL=1 XAUTHLOCALHOSTNAME= XAUTHORITY=/home/denis/.Xauthority XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg XDG_CURRENT_DESKTOP=XFCE XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 XDG_SESSION_CLASS=user XDG_SESSION_DESKTOP=xubuntu XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 XDG_SESSION_TYPE=x11 _=/usr/bin/dbus-update-activation-environment MANAGERPID=1089 INVOCATION_ID=c197959873a74edcbd4c721dcd045118 JOURNAL_STREAM=8:27323
   1191 ?        S      0:01 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0 HOME=/home/denis LANG=en_US.UTF-8 LC_ADDRESS=ru_RU.UTF-8 LC_IDENTIFICATION=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_MONETARY=ru_RU.UTF-8 LC_NAME=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 LOGNAME=denis PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin SHELL=/bin/bash SYSTEMD_EXEC_PID=1185 USER=denis XDG_RUNTIME_DIR=/run/user/1000 QT_ACCESSIBILITY=1 XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop CLUTTER_BACKEND=x11 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus DESKTOP_SESSION=xubuntu DISPLAY=:0 GDMSESSION=xubuntu GDM_LANG=en_US GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 GTK_OVERLAY_SCROLLING=0 LANGUAGE=en_US PWD=/home/denis QT_QPA_PLATFORMTHEME=gtk2 SHLVL=1 XAUTHLOCALHOSTNAME= XAUTHORITY=/home/denis/.Xauthority XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg XDG_CURRENT_DESKTOP=XFCE XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 XDG_SESSION_CLASS=user XDG_SESSION_DESKTOP=xubuntu XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 XDG_SESSION_TYPE=x11 _=/usr/bin/dbus-update-activation-environment MANAGERPID=1089 INVOCATION_ID=c197959873a74edcbd4c721dcd045118 JOURNAL_STREAM=8:27323
   1195 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd SHELL=/bin/bash DBUS_STARTER_ADDRESS=unix:path=/run/user/1000/bus,guid=8fac690ff3e6921aea6b0713635aac08 XDG_CURRENT_DESKTOP=XFCE XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 DISPLAY=:0 QT_ACCESSIBILITY=1 XDG_RUNTIME_DIR=/run/user/1000 DESKTOP_SESSION=xubuntu LC_NAME=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 GTK_OVERLAY_SCROLLING=0 XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin LC_MONETARY=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 GDMSESSION=xubuntu LC_IDENTIFICATION=ru_RU.UTF-8 XDG_SESSION_TYPE=x11 XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop SYSTEMD_EXEC_PID=1100 LANGUAGE=en_US JOURNAL_STREAM=8:26299 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus,guid=8fac690ff3e6921aea6b0713635aac08 INVOCATION_ID=ddb9826b8c98420f95eedd6741aa6fc0 XDG_SESSION_CLASS=user XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 XAUTHORITY=/home/denis/.Xauthority USER=denis DBUS_STARTER_BUS_TYPE=session LC_ADDRESS=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 SHLVL=1 GDM_LANG=en_US QT_QPA_PLATFORMTHEME=gtk2 PWD=/home/denis XAUTHLOCALHOSTNAME= CLUTTER_BACKEND=x11 MANAGERPID=1089 LANG=en_US.UTF-8 _=/usr/bin/dbus-update-activation-environment XDG_SESSION_DESKTOP=xubuntu XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg HOME=/home/denis LOGNAME=denis
   1200 ?        Sl     0:06 /usr/libexec/at-spi2-registryd --use-gnome-session SHELL=/bin/bash DBUS_STARTER_ADDRESS=unix:path=/run/user/1000/at-spi/bus_0,guid=dbe248c727f35a090957bafa635aac09 XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 XDG_CURRENT_DESKTOP=XFCE DISPLAY=:0 QT_ACCESSIBILITY=1 XDG_RUNTIME_DIR=/run/user/1000 DESKTOP_SESSION=xubuntu LC_NAME=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis GTK_OVERLAY_SCROLLING=0 PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin LC_MONETARY=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 GDMSESSION=xubuntu LC_IDENTIFICATION=ru_RU.UTF-8 XDG_SESSION_TYPE=x11 XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop SYSTEMD_EXEC_PID=1185 JOURNAL_STREAM=8:27323 LANGUAGE=en_US GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus INVOCATION_ID=c197959873a74edcbd4c721dcd045118 XDG_SESSION_CLASS=user XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 XAUTHORITY=/home/denis/.Xauthority USER=denis DBUS_STARTER_BUS_TYPE=accessibility LC_ADDRESS=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 SHLVL=1 QT_QPA_PLATFORMTHEME=gtk2 PWD=/home/denis GDM_LANG=en_US MANAGERPID=1089 XAUTHLOCALHOSTNAME= CLUTTER_BACKEND=x11 LANG=en_US.UTF-8 _=/usr/bin/dbus-update-activation-environment XDG_SESSION_DESKTOP=xubuntu XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg HOME=/home/denis LOGNAME=denis
   1205 ?        Sl     0:01 /usr/bin/xfce4-screensaver SHELL=/bin/bash DBUS_STARTER_ADDRESS=unix:path=/run/user/1000/bus,guid=8fac690ff3e6921aea6b0713635aac08 XDG_CURRENT_DESKTOP=XFCE XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0 DISPLAY=:0 QT_ACCESSIBILITY=1 XDG_RUNTIME_DIR=/run/user/1000 DESKTOP_SESSION=xubuntu LC_NAME=ru_RU.UTF-8 LC_MEASUREMENT=ru_RU.UTF-8 LC_PAPER=ru_RU.UTF-8 GTK_OVERLAY_SCROLLING=0 XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/denis PATH=/home/denis/.cargo/bin:/home/denis/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin LC_MONETARY=ru_RU.UTF-8 LC_NUMERIC=ru_RU.UTF-8 LC_TIME=ru_RU.UTF-8 GDMSESSION=xubuntu LC_IDENTIFICATION=ru_RU.UTF-8 XDG_SESSION_TYPE=x11 XDG_DATA_DIRS=/usr/share/xubuntu:/usr/share/xfce4:/usr/local/share:/usr/share:/var/lib/snapd/desktop SYSTEMD_EXEC_PID=1100 LANGUAGE=en_US JOURNAL_STREAM=8:26299 GPG_AGENT_INFO=/run/user/1000/gnupg/S.gpg-agent:0:1 DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus,guid=8fac690ff3e6921aea6b0713635aac08 INVOCATION_ID=ddb9826b8c98420f95eedd6741aa6fc0 XDG_SESSION_CLASS=user XDG_SEAT_PATH=/org/freedesktop/DisplayManager/Seat0 XAUTHORITY=/home/denis/.Xauthority USER=denis DBUS_STARTER_BUS_TYPE=session LC_ADDRESS=ru_RU.UTF-8 LC_TELEPHONE=ru_RU.UTF-8 SHLVL=1 GDM_LANG=en_US QT_QPA_PLATFORMTHEME=gtk2 PWD=/home/denis XAUTHLOCALHOSTNAME= CLUTTER_BACKEND=x11 MANAGERPID=1089 LANG=en_US.UTF-8 _=/usr/bin/dbus-update-activation-environment XDG_SESSION_DESKTOP=xubuntu XDG_CONFIG_DIRS=/etc/xdg/xdg-xubuntu:/etc/xdg HOME=/home/denis LOGNAME=denis
